,name,isVisible,dataType,processVariableId,filter,__typename,view,process
0,CaseId,True,CASE_ID,,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
1,Activity,True,EVENT_NAME,,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
2,End time,True,END_TIME,,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
3,Accounting Document Segment Primary Key,True,CHOICE,accounting-document-segment-p-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
4,Amount Eligible for Cash Discount in Document Currency,True,NUMBER,amount-eligible-for-cash-disc-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
5,Amount in Document Currency,True,NUMBER,amount-in-document-currency-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
6,Cash Discount Amount in Document Currency,True,NUMBER,cash-discount-amount-in-docum-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
7,Change New Value,True,CHOICE,change-new-value-103,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
8,Change Number,True,CHOICE,change-number-3,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
9,Change Old Value,True,CHOICE,change-old-value-92,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
10,Change Type,True,CHOICE,change-type-107,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
11,Changed Field,True,CHOICE,changed-field-103,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
12,Changed Object Id,True,CHOICE,changed-object-id-103,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
13,Changed Table,True,CHOICE,changed-table-103,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
14,Converted USD Amount,True,NUMBER,converted-usd-amount-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
15,Converted USD Amount Eligible for Cash Discount,True,NUMBER,converted-usd-amount-eligible-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
16,Converted USD Cash Discount Amount,True,NUMBER,converted-usd-cash-discount-a-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
17,Converted USD Net Payment Amount,True,NUMBER,converted-usd-net-payment-amo-7,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
18,Document Currency,True,CHOICE,document-currency-4,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
19,Event Created By User Id,True,CHOICE,event-created-by-user-id-134,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
20,Event Created By User Type,True,CHOICE,event-created-by-user-type-132,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
21,Inv. Accounting Document Date,True,DATE_TIME,inv-accounting-document-date-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
22,Inv. Accounting Document Number,True,CHOICE,inv-accounting-document-numbe-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
23,Inv. Amount Eligible for Cash Discount in Document Currency,True,NUMBER,inv-amount-eligible-for-cash--38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
24,Inv. Amount in Document Currency,True,NUMBER,inv-amount-in-document-curren-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
25,Inv. Amount in Local Currency,True,NUMBER,inv-amount-in-local-currency-36,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
26,Inv. Amount in Second Local Currency,True,NUMBER,inv-amount-in-second-local-cu-6,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
27,Inv. Cash Discount Amount in Document Currency,True,NUMBER,inv-cash-discount-amount-in-d-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
28,Inv. Cash Discount Amount in Local Currency,True,NUMBER,inv-cash-discount-amount-in-l-36,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
29,Inv. Client,True,CHOICE,inv-client-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
30,Inv. Company Code,True,CHOICE,inv-company-code-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
31,Inv. Company Code Text,True,CHOICE,inv-company-code-text-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
32,Inv. Converted USD Amount,True,NUMBER,inv-converted-usd-amount-37,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
33,Inv. Converted USD Amount Eligible for Cash Discount,True,NUMBER,inv-converted-usd-amount-elig-37,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
34,Inv. Converted USD Cash Discount Amount,True,NUMBER,inv-converted-usd-cash-discou-37,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
35,Inv. Creation User,True,CHOICE,inv-creation-user-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
36,Inv. Creation User Type,True,CHOICE,inv-creation-user-type-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
37,Inv. Currency Key,True,CHOICE,inv-currency-key-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
38,Inv. Currency Key for the Group Currency,True,CHOICE,inv-currency-key-for-the-grou-14,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
39,Inv. Currency Key of Second Local Currency,True,CHOICE,inv-currency-key-of-second-lo-14,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
40,Inv. Date,True,DATE_TIME,inv-date-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
41,Inv. Document Status,True,CHOICE,inv-document-status-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
42,Inv. Document Type,True,CHOICE,inv-document-type-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
43,Inv. Document Type Text,True,CHOICE,inv-document-type-text-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
44,Inv. Exchange rate,True,NUMBER,inv-exchange-rate-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
45,Inv. Exchange Rate Type,True,CHOICE,inv-exchange-rate-type-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
46,Inv. Fiscal Year,True,CHOICE,inv-fiscal-year-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
47,Inv. Group Currency Exchange Rate,True,NUMBER,inv-group-currency-exchange-r-14,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
48,Inv. Local Currency,True,CHOICE,inv-local-currency-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
49,Inv. Original Reduction Amount in Local Currency,True,NUMBER,inv-original-reduction-amount-36,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
50,Inv. Parking Date,True,DATE_TIME,inv-parking-date-6,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
51,Inv. Parking User,True,CHOICE,inv-parking-user-6,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
52,Inv. Posting Document Date,True,DATE_TIME,inv-posting-document-date-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
53,Inv. Reference Key,True,CHOICE,inv-reference-key-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
54,Inv. Reference Transaction,True,CHOICE,inv-reference-transaction-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
55,Inv. Reversal Indicator,True,CHOICE,inv-reversal-indicator-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
56,Inv. Transaction Code,True,CHOICE,inv-transaction-code-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
57,Invoice Due Date,True,DATE_TIME,invoice-due-date-43,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
58,Invoice Line Item,True,CHOICE,invoice-line-item-53,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
59,Invoice Posting Gross Amount,True,NUMBER,invoice-posting-gross-amount-13,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
60,Last Inv. Item Account Type,True,CHOICE,last-inv-item-account-type-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
61,Last Inv. Item Account Type Text,True,CHOICE,last-inv-item-account-type-te-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
62,Last Inv. Item Assignment Number,True,CHOICE,last-inv-item-assignment-numb-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
63,Last Inv. Item Baseline Date,True,DATE_TIME,last-inv-item-baseline-date-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
64,Last Inv. Item Billing Document,True,CHOICE,last-inv-item-billing-documen-13,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
65,Last Inv. Item Business Area,True,CHOICE,last-inv-item-business-area-36,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
66,Last Inv. Item Cash Discount Days 1,True,NUMBER,last-inv-item-cash-discount-d-147,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
67,Last Inv. Item Cash Discount Days 2,True,NUMBER,last-inv-item-cash-discount-d-148,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
68,Last Inv. Item Cash Discount Due Date 1,True,DATE_TIME,last-inv-item-cash-discount-d-149,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
69,Last Inv. Item Cash Discount Due Date 2,True,DATE_TIME,last-inv-item-cash-discount-d-150,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
70,Last Inv. Item Cash Discount Percentage1,True,NUMBER,last-inv-item-cash-discount-p-74,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
71,Last Inv. Item Cash Discount Percentage2,True,NUMBER,last-inv-item-cash-discount-p-75,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
72,Last Inv. Item Clearing Date,True,DATE_TIME,last-inv-item-clearing-date-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
73,Last Inv. Item Clearing Entry Date,True,DATE_TIME,last-inv-item-clearing-entry--38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
74,Last Inv. Item Controlling Area,True,CHOICE,last-inv-item-controlling-are-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
75,Last Inv. Item Cost Center,True,CHOICE,last-inv-item-cost-center-31,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
76,Last Inv. Item Customer Number,True,CHOICE,last-inv-item-customer-number-36,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
77,Last Inv. Item Debit/Credit Indicator,True,CHOICE,last-inv-item-debitcredit-ind-75,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
78,Last Inv. Item Debit/Credit Indicator Text,True,CHOICE,last-inv-item-debitcredit-ind-76,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
79,Last Inv. Item Delivery Schedule Line Number,True,CHOICE,last-inv-item-delivery-schedu-31,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
80,Last Inv. Item Document Number of the Clearing Document,True,CHOICE,last-inv-item-document-number-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
81,Last Inv. Item Due Date,True,DATE_TIME,last-inv-item-due-date-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
82,Last Inv. Item Dunned On,True,NUMBER,last-inv-item-dunned-on-35,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
83,Last Inv. Item Dunning Area,True,CHOICE,last-inv-item-dunning-area-34,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
84,Last Inv. Item Dunning Block,True,CHOICE,last-inv-item-dunning-block-37,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
85,Last Inv. Item Dunning key,True,CHOICE,last-inv-item-dunning-key-34,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
86,Last Inv. Item Dunning Level,True,CHOICE,last-inv-item-dunning-level-35,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
87,Last Inv. Item Fiscal Year of the Relevant Invoice,True,CHOICE,last-inv-item-fiscal-year-of--33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
88,Last Inv. Item Fixed Payment Terms,True,CHOICE,last-inv-item-fixed-payment-t-31,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
89,Last Inv. Item Follow-On Document Type,True,CHOICE,last-inv-item-follow-on-docum-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
90,Last Inv. Item G/L Account Number,True,CHOICE,last-inv-item-gl-account-numb-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
91,Last Inv. Item Line Item of the Relevant Invoice,True,CHOICE,last-inv-item-line-item-of-th-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
92,Last Inv. Item Net Payment Terms Period,True,NUMBER,last-inv-item-net-payment-ter-37,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
93,Last Inv. Item Number of the Relevant Invoice,True,CHOICE,last-inv-item-number-of-the-r-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
94,Last Inv. Item Order Number,True,CHOICE,last-inv-item-order-number-31,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
95,Last Inv. Item Payment Block Key,True,CHOICE,last-inv-item-payment-block-k-33,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
96,Last Inv. Item Payment Method,True,CHOICE,last-inv-item-payment-method-34,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
97,Last Inv. Item Posting Key,True,CHOICE,last-inv-item-posting-key-38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
98,Last Inv. Item Sales Document,True,CHOICE,last-inv-item-sales-document-8,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
99,Last Inv. Item Sales Document Item,True,CHOICE,last-inv-item-sales-document--8,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
100,Last Inv. Item Special G/L Indicator,True,CHOICE,last-inv-item-special-gl-indi-31,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
101,Last Inv. Item Special G/L Transaction Type,True,CHOICE,last-inv-item-special-gl-tran-31,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
102,Last Inv. Item Target Special G/L Indicator,True,CHOICE,last-inv-item-target-special--31,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
103,Last Inv. Item Tax Type,True,CHOICE,last-inv-item-tax-type-31,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
104,Last Inv. Item Tax Type Text,True,CHOICE,last-inv-item-tax-type-text-31,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
105,Last Inv. Item Terms of Payment Key,True,CHOICE,last-inv-item-terms-of-paymen-39,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
106,Last Inv. Item Text,True,CHOICE,last-inv-item-text-37,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
107,Last Inv. Item Total Quantity,True,NUMBER,last-inv-item-total-quantity-31,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
108,Last Inv. Number of Line Item Within Accounting Document,True,CHOICE,last-inv-number-of-line-item--38,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
109,Net Payment Amount,True,NUMBER,net-payment-amount-7,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
110,Reversal Indicator,True,CHOICE,reversal-indicator-34,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
111,Reverse Document Fiscal Year,True,CHOICE,reverse-document-fiscal-year-34,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
112,Reverse Document Number,True,CHOICE,reverse-document-number-34,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
113,SD Cancelled Doc,True,CHOICE,sd-cancelled-doc-7,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
114,SD Credit Control Area,True,CHOICE,sd-credit-control-area-10,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
115,SD Customer Number,True,CHOICE,sd-customer-number-10,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
116,SD Distribution Channel,True,CHOICE,sd-distribution-channel-12,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
117,SD Number,True,CHOICE,sd-number-12,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
118,SD Organization,True,CHOICE,sd-organization-12,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
119,SD Organization Text,True,CHOICE,sd-organization-text-12,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
120,SD Preceding Doc,True,CHOICE,sd-preceding-doc-12,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
121,SD Subsequent Doc,True,CHOICE,sd-subsequent-doc-12,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
122,SD Type,True,CHOICE,sd-type-12,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
123,Transaction Code,True,CHOICE,transaction-code-36,,SubjectViewColumn,defaultview-529,000_DEMO✨ - Dashboards ITC ECC & S4H (DO NOT CHANGE)
124,CaseId,True,CASE_ID,,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
125,Activity,True,EVENT_NAME,,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
126,End time,True,END_TIME,,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
127,Accounting Document Segment Primary Key,True,CHOICE,accounting-document-segment-p-28,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
128,Amount Eligible for Cash Discount in Document Currency,True,NUMBER,amount-eligible-for-cash-disc-26,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
129,Amount in Document Currency,True,NUMBER,amount-in-document-currency-26,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
130,Cash Discount Amount in Document Currency,True,NUMBER,cash-discount-amount-in-docum-26,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
131,Change New Value,True,CHOICE,change-new-value-64,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
132,Change Number,True,CHOICE,change-number-2,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
133,Change Old Value,True,CHOICE,change-old-value-56,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
134,Change Type,True,CHOICE,change-type-64,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
135,Changed Field,True,CHOICE,changed-field-64,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
136,Changed Object Id,True,CHOICE,changed-object-id-64,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
137,Changed Table,True,CHOICE,changed-table-64,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
138,Converted USD Amount,True,NUMBER,converted-usd-amount-26,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
139,Converted USD Amount Eligible for Cash Discount,True,NUMBER,converted-usd-amount-eligible-26,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
140,Converted USD Cash Discount Amount,True,NUMBER,converted-usd-cash-discount-a-26,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
141,Document Currency,True,CHOICE,document-currency-11,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
142,Event Created By User Id,True,CHOICE,event-created-by-user-id-77,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
143,Event Created By User Type,True,CHOICE,event-created-by-user-type-76,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
144,GR Debit/Credit Indicator,True,CHOICE,gr-debitcredit-indicator-50,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
145,GR Document Date,True,DATE_TIME,gr-document-date-49,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
146,GR Document ID,True,CHOICE,gr-document-id-50,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
147,GR Document Item,True,CHOICE,gr-document-item-50,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
148,GR Document Posting Date,True,DATE_TIME,gr-document-posting-date-50,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
149,GR Document Year,True,CHOICE,gr-document-year-50,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
150,GR Quantity,True,NUMBER,gr-quantity-50,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
151,GR Reference Material Document ID,True,CHOICE,gr-reference-material-documen-142,,SubjectViewColumn,defaultview-320,000_DEMO✨ - Dashboards ITP ECC & S4H (DO NOT CHANGE)
